author,quote,rank,rate,title
亦舒 ,爱情才是终极的奢侈品,17,8.1,"
                喜宝

                
              "
[美] 加·泽文 ,爱书的人从不孤独,18,7.6,"
                岛上书店

                
              "
唐七公子 ,大风刮过有话要说,19,7.9,"
                三生三世 十里桃花

                
              "
[日] 村上春树 ,背负诅咒的少年，平行世界中的奥德赛,20,8.1,"
                海边的卡夫卡

                
              "
余秋雨 ,“历史文化散文”,21,7.8,"
                文化苦旅

                
              "
大仲马 ,完美的复仇，金庸用法语写作应该就是这样,22,9.0,"
                基督山伯爵

                
              "
[日] 黑柳彻子 著 ,真正懂孩子的教育经,23,8.7,"
                窗边的小豆豆

                
              "
[明] 罗贯中 ,是非成败转头空,24,9.2,"
                三国演义（全二册）

                
              "
王小波 ,能把性爱写得如此坦荡的，大概只有王二了,25,8.8,"
                黄金时代

                
                  ,
              "
今何在 ,猴子还是那个猴子，世界早已不是原来的世界,1,8.4,"
                悟空传

                
                  ,
              "
余华 ,历史苦难中的个人灾变,2,8.3,"
                兄弟（上）

                
              "
艾米莉·勃朗特 ,近乎暴虐的爱与恨，中文译名后无来者,3,8.4,"
                呼啸山庄

                
              "
金庸 ,武侠的壳，政治斗争的核,4,9.0,"
                笑傲江湖（全四册）

                
              "
[美] M·斯科特·派克 ,成熟的心智通向更完善的自我,5,8.4,"
                少有人走的路

                
                  ,
              "
刘瑜 ,公民养成手册,6,8.6,"
                民主的细节

                
                  ,
              "
龙应台 ,龙应台母子对话，两代人的思想碰撞,7,8.7,"
                亲爱的安德烈

                
              "
[美] 卡勒德·胡赛尼 ,唯有希望与爱可以驱散阴霾,8,8.8,"
                灿烂千阳

                
              "
海明威 ,正是悲壮赋予生活以意义,9,8.3,"
                老人与海

                
              "
张德芬 ,都市灵修速成,10,8.1,"
                遇见未知的自己

                
              "
[英] 乔治·奥威尔 ,一个预言和一个寓言，令人窒息的政治恐怖,11,9.3,"
                一九八四·动物农场

                
              "
[巴西]保罗·柯艾略 ,你自己就是最大的宝藏,12,8.6,"
                牧羊少年奇幻之旅

                
              "
[英] 阿·柯南道尔 ,侦探小说鼻祖,13,9.2,"
                福尔摩斯探案全集（上中下）

                
              "
郭敬明 ,温习了很多奢侈品品牌名称,14,6.5,"
                小时代1.0折纸时代

                
              "
[美] 弗拉基米尔·纳博科夫 ,我的生命之光，我的欲望之火,15,7.7,"
                洛丽塔

                
              "
[哥伦比亚] 加西亚·马尔克斯 ,拉丁美洲圣经,16,8.9,"
                百年孤独

                
              "
[日] 村上春树 ,情节铺展渐次清明，高潮序曲,17,8.4,"
                1Q84 BOOK 2

                
                  ,
              "
安妮宝贝 ,呢喃自语，清简自持,18,7.8,"
                素年锦时

                
              "
[日] 岩井俊二 ,一场误会中的两段爱情，东方式的含蓄隐忍,19,8.6,"
                情书

                
              "
蔡智恒 ,那时候，去麦当劳约会还很高端……,20,7.4,"
                第一次的亲密接触

                
              "
金庸 ,至情至性，情大于武,21,8.8,"
                神雕侠侣

                
              "
韩寒 ,可能是韩寒最好笑的小说,22,7.4,"
                一座城池

                
              "
小仲马 ,妓女应当拥有爱情吗？,23,8.2,"
                茶花女

                
              "
[美国] J. D. 塞林格 ,塞林格的麦田里，到处是坠落的青春,24,7.9,"
                麦田里的守望者

                
              "
韩寒 ,总有光芒将你引导到清澈的地方,25,7.5,"
                他的国

                
              "
安妮宝贝 ,安妮宝贝第一部长篇，现实与虚构的重合,1,7.8,"
                彼岸花

                
              "
笛安 ,无关风月的非典型青春小说,2,7.9,"
                西决

                
              "
[英] 阿加莎·克里斯蒂 ,谋杀诡计惊人，波洛的抉择耐人寻味,3,9.0,"
                东方快车谋杀案

                
              "
[日] 村上春树 ,初读是色情，再读是爱情，三读是世情,4,8.5,"
                挪威的森林

                
              "
文：安东尼 ,只言片语的温暖,5,8.4,"
                这些都是你给我的爱

                
              "
吴念真 ,平淡叙述下的惊心动魄,6,8.8,"
                这些人，那些事

                
              "
安妮宝贝 ,八月是一阵季风，生命是一场幻觉,7,7.5,"
                八月未央

                
              "
[日] 村上春树 ,村上同志告诉我们，身体是革命的本钱,8,8.1,"
                当我谈跑步时我谈些什么

                
              "
当年明月 ,万国来朝与北京保卫战，燃,9,8.9,"
                明朝那些事儿（贰）

                
                  ,
              "
安妮宝贝 ,遗忘就和记得一样是送给彼此的纪念,10,7.9,"
                清醒纪

                
              "
[奥] 斯台芬·茨威格 ,暗恋的极致,11,8.7,"
                一个陌生女人的来信

                
              "
蔡康永 著 ,会说话的人运气都不会太差,12,7.2,"
                蔡康永的说话之道

                
              "
(法)马克·李维 ,为偷来的影子找到光芒,13,7.8,"
                偷影子的人

                
              "
安东尼 ,真正的片段式写作,14,8.4,"
                陪安东尼度过漫长岁月

                
              "
王小波 ,沉默是沉默者的通行证,15,9.1,"
                沉默的大多数

                
                  ,
              "
陈忠实 ,中国乡村史诗,16,8.6,"
                白鹿原

                
              "
[美国] 桑德拉·希斯内罗丝 ,那些微尘般漂浮的生活,17,7.8,"
                芒果街上的小屋

                
              "
（法）莫泊桑 ,资产阶级的道貌岸然,18,8.1,"
                羊脂球

                
              "
[英] 笛福 ,最早的荒野求生,19,8.0,"
                鲁滨逊漂流记

                
              "
[日] 井上雄彦 ,全剧终,20,9.5,"
                灌篮高手31

                
              "
三毛 ,游荡的自由灵魂,21,9.2,"
                撒哈拉的故事

                
              "
[法]雨果 ,潜藏于残缺下的美与崇高,22,8.3,"
                巴黎圣母院

                
              "
[美] 斯蒂芬·金 ,希望让人自由，电影实在太有名,23,9.1,"
                肖申克的救赎

                
              "
[美国] J. D. 塞林格 ,反英雄霍尔顿的一生,24,8.1,"
                麦田里的守望者

                
              "
[美] 伍绮诗 ,莉迪亚死了，可他们还不知道,25,8.2,"
                无声告白

                
              "
（日）东野圭吾 ,东野说，这是最纯粹的爱情,1,9.0,"
                嫌疑人X的献身

                
              "
艾米 ,明净单纯,2,7.8,"
                山楂树之恋

                
              "
唐七公子 ,现实不如梦中的圆满,3,8.5,"
                华胥引（全二册）

                
              "
幾米 ,黑暗世界中的点滴亮光,4,8.3,"
                地下铁

                
              "
[日] 村上春树 ,我们通过孤独与世界沟通,5,7.8,"
                且听风吟

                
              "
[苏] 尼·奥斯特洛夫斯基 ,激情燃烧的岁月，特殊年代的经典,6,7.6,"
                钢铁是怎样炼成的

                
              "
张爱玲 ,蚊子血还是饭黏子？,7,8.4,"
                红玫瑰与白玫瑰

                
              "
安意如 ,是“何事秋风悲画扇”，不是西风,8,7.2,"
                人生若只如初见

                
                  ,
              "
太宰治 ,令人无从怜悯的绝望,9,8.3,"
                人间失格

                
              "
天下霸唱 ,盗墓祖师名不虚传,10,8.1,"
                鬼吹灯之精绝古城

                
                  ,
              "
（丹麦）安徒生 ,远不是童话那么简单,11,9.2,"
                安徒生童话故事集

                
              "
鲁迅 ,新文学的第一声呐喊,12,8.8,"
                呐喊

                
              "
张爱玲 ,自传性作品，团圆只存在幻灭之中,13,7.6,"
                小团圆

                
              "
明晓溪 ,霸道总裁爱上我,14,6.9,"
                泡沫之夏

                
              "
明晓溪 ,理想化,15,6.6,"
                会有天使替我爱你

                
              "
[英] 乔治·奥威尔 ,栗树荫下，我出卖你，你出卖我,16,9.3,"
                1984

                
              "
落落 ,女生间的微妙友谊,17,7.7,"
                年华是无效信

                
              "
〔日〕东野圭吾 ,《白夜行》续篇，恶的幻夜吞噬一切,18,7.5,"
                幻夜

                
                  ,
              "
[美] 杰克·凯鲁亚克 ,我们非去不可，在到达之前，永不停止,19,7.8,"
                在路上

                
              "
金庸 ,侠之大者，为国为民,20,8.9,"
                射雕英雄传（全四册）

                
              "
当年明月 ,不拘一格的历史书写,21,9.1,"
                明朝那些事儿（1-9）

                
                  ,
              "
幾米 ,月明星稀的晚上，看不见的，看见了,22,8.6,"
                月亮忘記了

                
              "
当年明月 ,圣人般的王守仁，大娱乐家朱厚照,23,8.9,"
                明朝那些事儿（叁）

                
                  ,
              "
三毛 ,沙漠中寻常的生与死,24,8.9,"
                哭泣的骆驼

                
              "
辛夷坞 ,还在的只有回忆,25,7.6,"
                原来你还在这里

                
              "
张爱玲 ,世钧，我们回不去了,1,8.6,"
                半生缘

                
              "
江南 ,象牙塔里的金庸群侠,2,8.4,"
                此间的少年

                
              "
宋鸿兵 编著 ,无所不能的罗斯柴尔德家族,3,7.2,"
                货币战争

                
              "
匪我思存 ,玛丽苏成人童话,4,7.9,"
                佳期如梦

                
              "
[以色列]尤瓦尔·赫拉利 ,,5,9.1,"
                人类简史

                
                  ,
              "
[英] 阿加莎・克里斯蒂 ,童谣杀人案,6,8.9,"
                无人生还

                
              "
高木直子 ,独居生活之乐,7,8.4,"
                一個人住第5年

                
              "
菲茨杰拉德 ,梦，就像黛西家的那一缕绿光,8,8.3,"
                了不起的盖茨比

                
              "
[美] 奥德丽·尼芬格 ,在时间的缝隙中穿行，然后相遇,9,8.1,"
                时间旅行者的妻子

                
              "
