name,point,rank,Win Rate,Wins,Win Rank,Kill / Death Ratio,Kills,Kill Rank,macth played,daliy logins,avg distance travelled,Total Distance Travelled,AVG Distance On Foot,AVG Distance In Vehicle,Weapons Acquired,Vehicles Destroyed,Total Damage Dealt,Top 10 Rate,Top 10s,AVG Survival Time,Longest Time Survived,Total Heals,Total Boosts,Team Kills,Suicides,Revives,AVG Damage Per Match,Most Kills In Match,Assists,KDA,Headshots,Headshot Kill Ratio,Longest Kill,Road Kills,Best Kill Streak,DBNO
Kemba7,2335,252,41.46%,17,267,4.08,98,511,41,8,27.73 km,1137.09 km,20.57 km,7.16 km,245,4,12950,87.80%,36,26m,32m,178,133,0,0,30,315.86,8,57,6.46,18,18.37%,420 m,0,3,70,
JLjke,2567,46,39.42%,54,41,3.76,312,342,137,20,6.47 km,885.81 km,1.90 km,4.57 km,606,15,48527,86.86%,119,26m,36m,533,368,1,0,51,354.21,10,179,5.92,53,16.99%,507 m,1,4,270,
Nbslol,2613,47,51.41%,128,50,6.55,792,58,249,30,6.09 km,1516.51 km,1.82 km,4.27 km,1301,37,106063,86.35%,215,25m,36m,882,834,2,0,117,425.95,12,429,10.09,136,17.17%,1154 m,10,5,621,
Blinnkk,2563,49,38.89%,56,56,6.30,554,32,144,23,5.90 km,849.97 km,1.93 km,3.97 km,804,19,70360,88.19%,127,25m,36m,502,549,3,2,68,488.61,15,228,8.89,69,12.45%,795 m,5,4,457,
Your1Death,2554,50,32.79%,81,54,3.69,613,61,247,33,5.54 km,1368.05 km,2.14 km,3.40 km,1164,14,77096,68.83%,170,21m,36m,730,545,1,0,82,312.13,12,211,4.96,118,19.25%,959 m,2,4,521,
Cyp1k,2554,50,32.79%,81,54,3.69,613,61,247,33,5.54 km,1368.05 km,2.14 km,3.40 km,1164,14,77096,68.83%,170,21m,36m,730,545,1,0,82,312.13,12,211,4.96,118,19.25%,959 m,2,4,521,
Votyakov,2554,52,40.09%,188,52,4.60,1292,131,469,38,8.18 km,3838.21 km,3.90 km,4.28 km,2068,40,170325,83.16%,390,24m,36m,1878,1375,6,4,129,363.17,12,570,6.63,183,14.16%,617 m,15,4,1019,
KomiaX,2555,53,37.25%,76,46,3.02,386,486,204,34,7.89 km,1609.86 km,1.92 km,5.97 km,947,10,54494,93.63%,191,27m,36m,505,373,2,1,58,267.13,9,167,4.32,55,14.25%,575 m,5,4,322,
CaTzeN,2343,266,38.39%,43,322,5.30,366,194,112,22,14.57 km,1631.93 km,7.41 km,7.16 km,554,12,48094,84.82%,95,24m,32m,304,311,0,0,44,429.41,14,148,7.45,57,15.57%,587 m,0,4,291,
RoryFPS,2224,1094,31.11%,14,1384,4.52,140,1203,45,9,5.81 km,261.57 km,1.65 km,4.17 km,224,0,19329,82.22%,37,23m,31m,86,71,1,0,21,429.53,9,57,6.35,25,17.86%,533 m,0,3,123,
TraktorXD,2558,54,27.80%,67,51,2.56,446,253,241,38,6.36 km,1533.84 km,2.28 km,4.08 km,1183,16,70129,86.31%,208,25m,34m,1045,638,3,3,72,290.99,9,217,3.81,81,18.16%,481 m,6,3,396,
fettjuv1,2547,51,41.21%,75,49,3.49,373,116,182,29,6.55 km,1192.50 km,2.12 km,4.43 km,838,21,47835,87.91%,160,26m,36m,786,623,1,1,94,262.83,9,202,5.37,70,18.77%,529 m,0,5,293,
Mellman,2560,55,34.41%,170,49,3.34,1083,636,494,35,6.65 km,3283.76 km,2.22 km,4.42 km,2295,45,150614,81.17%,401,24m,36m,2066,1579,7,1,140,304.89,12,571,5.10,211,19.48%,451 m,10,4,863,
The_Venom_Inside,1620,324108,33.33%,3,341632,4.83,29,279306,9,3,6.52 km,58.64 km,1.75 km,4.76 km,37,0,4173,55.56%,5,20m,30m,24,30,0,0,3,463.70,7,12,6.83,11,37.93%,271 m,0,3,28,
Stok89,2533,56,64.29%,54,82,18.07,542,8,84,12,6.68 km,561.54 km,2.93 km,3.76 km,329,5,66086,85.71%,72,26m,32m,183,208,1,1,27,786.74,15,118,22.00,162,29.89%,532 m,3,4,408,
Dreamykid,2532,57,59.14%,55,62,7.87,299,98,93,18,7.17 km,666.64 km,2.26 km,4.91 km,446,3,39770,92.47%,86,27m,34m,327,294,0,0,39,427.63,11,158,12.03,64,21.40%,750 m,4,4,230,
Jahonnes,1886,34418,35.71%,5,30332,3.78,34,96621,14,6,5.28 km,73.93 km,2.30 km,2.98 km,90,0,4407,50.00%,7,22m,33m,60,37,0,0,2,314.80,7,12,5.11,5,14.71%,138 m,0,3,23,
Nicexinzai__,
ozone-6,1434,780702,16.67%,1,841122,3.60,18,551892,6,1,3.40 km,20.39 km,1.06 km,2.34 km,18,0,2201,33.33%,2,15m,30m,9,6,0,0,1,366.86,9,1,3.80,3,16.67%,249 m,0,3,16,
Balrogx,2524,58,50.70%,36,63,5.74,201,151,71,22,6.02 km,427.34 km,2.07 km,3.95 km,299,4,23251,85.92%,61,27m,36m,113,223,2,1,24,327.49,13,108,8.83,41,20.40%,415 m,0,3,150,
magnejulkveld,2539,55,45.00%,90,54,4.20,462,309,200,31,7.23 km,1446.69 km,2.12 km,5.11 km,853,17,61595,82.50%,165,25m,36m,795,509,2,0,96,307.97,13,253,6.50,72,15.58%,431 m,13,4,365,
azoN,2521,59,32.34%,119,64,3.66,911,145,368,36,5.33 km,1962.33 km,1.86 km,3.48 km,1773,31,115517,69.29%,255,22m,34m,1540,1202,2,1,144,313.91,16,335,5.00,192,21.08%,449 m,5,4,743,
Envaiddd,1975,170112,7.89%,6,166978,0.87,61,219227,76,25,5.00 km,380.10 km,1.28 km,3.72 km,307,2,8373,55.26%,42,18m,33m,369,174,2,0,21,110.16,4,29,1.29,10,16.39%,209 m,1,3,55,
9u4ku_DpaKoHa,2515,60,38.89%,105,57,3.78,623,427,270,31,6.45 km,1741.04 km,2.85 km,3.60 km,1108,13,88308,77.78%,210,23m,36m,920,721,0,0,95,327.07,9,345,5.87,114,18.30%,628 m,5,4,512,
sanbingtt,
iLame_ru,2346,235,35.71%,80,325,6.24,899,62,224,28,6.93 km,1553.11 km,1.63 km,5.30 km,935,18,115436,63.84%,143,22m,35m,521,619,8,4,67,515.34,15,308,8.38,160,17.80%,466 m,12,4,717,
Kener,2541,61,53.95%,157,72,8.16,1093,75,291,36,6.17 km,1794.52 km,2.20 km,3.97 km,1159,30,138583,83.51%,243,24m,34m,941,848,6,3,116,476.23,14,514,11.99,233,21.32%,734 m,6,4,857,
DaromDobro,2512,62,30.42%,115,58,2.46,648,519,378,35,5.87 km,2219.12 km,2.14 km,3.73 km,1419,16,87211,72.75%,275,22m,36m,1346,1029,8,4,157,230.72,11,334,3.73,157,24.23%,505 m,5,4,497,
YXX_ZSZT,1594,329987,20.00%,1,416991,18.50,74,99448,5,2,4.19 km,20.95 km,2.60 km,1.59 km,37,0,8092,80.00%,4,26m,31m,23,16,0,0,2,1618.35,24,4,19.50,11,14.86%,327 m,0,4,69,
Wany_,2516,63,32.18%,65,60,2.85,391,323,202,36,6.06 km,1224.19 km,1.96 km,4.10 km,1121,25,54871,87.62%,177,24m,34m,579,581,0,0,66,271.64,9,199,4.31,78,19.95%,631 m,1,3,329,
IMercenaryI,2528,64,33.67%,66,65,2.86,372,191,196,33,5.75 km,1127.58 km,1.65 km,4.10 km,934,6,52867,70.41%,138,23m,33m,608,540,0,0,77,269.73,11,224,4.58,60,16.13%,642 m,5,3,309,
kolder,2511,65,29.33%,61,66,2.94,432,206,208,29,8.78 km,1827.21 km,5.20 km,3.58 km,954,9,58161,68.75%,143,22m,34m,862,599,1,0,104,279.62,11,200,4.30,85,19.68%,470 m,3,3,354,
Awien,2510,66,56.06%,37,71,8.69,252,94,66,11,7.91 km,522.34 km,2.26 km,5.65 km,366,6,32026,95.45%,63,28m,32m,209,229,1,0,22,485.24,12,102,12.21,47,18.65%,435 m,0,4,205,
DumboCZ,2512,67,39.32%,46,59,3.68,261,451,117,27,7.54 km,882.13 km,2.00 km,5.54 km,425,8,42243,90.60%,106,26m,36m,304,239,0,0,45,361.05,9,140,5.65,49,18.77%,605 m,4,4,225,
TheLight,2512,68,44.32%,39,77,6.20,304,55,88,14,7.14 km,628.27 km,2.55 km,4.59 km,466,6,35929,81.82%,72,26m,33m,312,197,0,0,52,408.29,12,142,9.10,58,19.08%,449 m,1,4,233,
Tokyto,2509,69,36.71%,76,55,2.09,274,2085,207,36,6.90 km,1428.73 km,1.89 km,5.01 km,984,14,46053,92.27%,191,26m,36m,682,487,3,2,58,222.48,9,206,3.66,53,19.34%,396 m,3,4,223,
Imunnity,2536,70,23.85%,104,69,2.77,918,127,436,36,5.58 km,2431.41 km,2.00 km,3.58 km,1927,34,116383,66.74%,291,21m,34m,1304,1153,2,0,151,266.93,11,400,3.97,156,16.99%,612 m,7,4,780,
IamPhil,2231,666,38.16%,29,595,3.91,184,5985,76,15,6.21 km,471.87 km,1.73 km,4.48 km,334,13,23076,88.16%,67,24m,32m,243,192,0,0,14,303.63,9,86,5.74,24,13.04%,532 m,0,3,130,
CloudTail,2505,71,45.45%,55,61,3.95,261,508,121,19,6.87 km,831.67 km,2.01 km,4.86 km,562,4,36744,88.43%,107,26m,35m,377,389,2,1,45,303.67,11,153,6.27,56,21.46%,413 m,1,3,215,
KaiReikiaPadarau,2263,527,40.54%,15,526,4.50,99,2039,37,9,5.94 km,219.60 km,1.87 km,4.07 km,167,8,11821,94.59%,35,24m,32m,123,104,0,0,12,319.49,10,34,6.05,12,12.12%,462 m,3,3,67,
DragoGo,2125,3164,33.33%,18,3194,3.81,137,10849,54,14,13.90 km,750.67 km,9.77 km,4.13 km,239,4,18249,77.78%,42,23m,32m,186,137,1,1,20,337.94,9,47,5.11,27,19.71%,437 m,2,3,113,
roadtodeath,2508,72,34.88%,60,70,3.35,375,149,172,25,6.40 km,1100.53 km,1.99 km,4.41 km,901,8,53438,65.12%,112,21m,36m,466,473,4,1,51,310.69,10,175,4.91,74,19.73%,406 m,5,4,336,
DONGDONG_JU,3137,1,58.08%,248,1,8.17,1463,44,427,34,8.10 km,3456.67 km,2.19 km,5.90 km,2321,94,174974,95.32%,407,27m,36m,994,1622,3,0,142,409.78,13,644,11.77,235,16.06%,556 m,25,5,1073,
FZ-Qqun259999250,
douyu756119xijie,3120,2,72.02%,175,8,71.87,4887,1,243,21,6.14 km,1491.74 km,2.94 km,3.20 km,1604,99,525219,83.95%,204,24m,32m,261,406,4,3,56,2161.39,46,171,74.38,1723,35.26%,995 m,16,11,3715,
SimSn,3122,3,57.79%,293,2,6.99,1496,115,507,37,10.20 km,5172.33 km,4.58 km,5.62 km,2320,41,195622,92.11%,467,27m,36m,1096,1306,4,2,89,385.84,13,816,10.80,246,16.44%,543 m,19,8,1139,
alohayo,3113,4,55.48%,314,4,6.89,1736,199,566,38,9.12 km,5163.81 km,2.74 km,6.38 km,2638,72,227233,91.87%,520,27m,36m,1276,2199,4,2,150,401.47,20,817,10.13,264,15.21%,617 m,21,4,1340,
behindattack,3101,5,63.45%,217,3,8.50,1063,231,342,37,7.86 km,2687.14 km,2.14 km,5.71 km,1657,37,127848,92.11%,315,27m,36m,718,1213,2,0,124,373.83,11,560,12.98,146,13.73%,402 m,11,4,750,
Qurate,3101,6,60.80%,197,5,8.24,1046,117,324,30,8.19 km,2652.92 km,2.59 km,5.60 km,1942,58,137384,92.90%,301,26m,36m,1122,1102,3,1,128,424.03,15,531,12.42,195,18.64%,554 m,7,4,780,
Rain1ng,3078,7,69.40%,161,7,11.76,835,93,232,22,8.60 km,1995.39 km,2.41 km,6.19 km,984,44,104938,95.69%,222,27m,36m,784,962,5,1,74,452.32,13,393,17.30,106,12.69%,601 m,12,4,601,
Gqun-237434045,
SAD0,3085,8,63.21%,177,6,8.50,876,535,280,23,8.23 km,2303.49 km,2.44 km,5.79 km,1543,46,117025,95.00%,266,27m,36m,844,1025,1,1,86,417.95,12,394,12.33,157,17.92%,534 m,11,4,677,
Maesaengi,3069,9,51.26%,245,9,6.71,1564,114,478,39,8.06 km,3852.98 km,2.36 km,5.70 km,2617,55,216223,94.77%,453,26m,36m,2119,1891,9,5,205,452.35,17,700,9.72,273,17.46%,907 m,21,6,1283,
BreakNeck,3061,10,58.82%,180,11,8.53,1075,109,306,31,8.26 km,2528.88 km,2.28 km,5.98 km,1608,41,140323,94.12%,288,26m,36m,1013,886,0,0,95,458.57,14,535,12.78,172,16.00%,853 m,15,4,796,
ruliweb_com,3060,11,54.04%,214,12,7.10,1292,215,396,34,7.81 km,3091.55 km,2.23 km,5.58 km,2589,50,166885,91.16%,361,26m,36m,1462,971,4,1,144,421.43,16,561,10.18,209,16.18%,809 m,16,5,990,
Xerape,3057,12,56.66%,200,10,5.61,859,946,353,34,8.55 km,3018.01 km,2.62 km,5.93 km,1913,22,124311,91.78%,324,26m,36m,1024,962,2,1,128,352.16,11,504,8.91,140,16.30%,476 m,10,5,681,
wg-YY61135156,1341,5974228,100.00%,1,6134521,0.00,14,5005004,1,1,8.54 km,8.54 km,2.94 km,5.60 km,2,0,1403,100.00%,1,29m,29m,1,3,0,0,2,1402.58,14,0,0.00,7,50.00%,329 m,0,3,8,
PanDa_491451,1989,1367937,0.00%,0,2086515,3.51,179,30323,51,3,2.67 km,135.99 km,1.25 km,1.41 km,212,1,19591,21.57%,11,12m,31m,34,58,0,0,7,384.13,13,18,3.86,37,20.67%,176 m,14,5,160,
TowerPalace,3035,13,49.47%,188,16,5.93,1138,179,380,37,9.17 km,3485.07 km,3.61 km,5.57 km,1976,65,150635,91.58%,348,26m,36m,1311,1168,4,1,126,396.41,13,514,8.60,200,17.57%,488 m,22,4,915,
Kooooko,3036,14,52.69%,98,28,16.24,1429,6,186,14,4.52 km,841.31 km,1.86 km,2.66 km,976,48,179261,74.73%,139,23m,35m,394,533,8,2,73,963.77,27,189,18.39,874,61.16%,963 m,6,6,1320,
mercedes_benz,3036,15,60.53%,161,21,9.65,1013,62,266,32,8.17 km,2173.41 km,2.16 km,6.01 km,1188,46,134013,94.74%,252,27m,33m,846,831,2,2,68,503.81,13,423,13.68,175,17.28%,477 m,24,5,822,
Menteul,3032,16,60.00%,144,17,8.73,838,189,240,27,8.41 km,2018.28 km,2.21 km,6.20 km,1140,38,108263,91.67%,220,27m,36m,948,659,4,2,114,451.09,14,394,12.83,139,16.59%,548 m,13,5,650,
douyuTV356342,
WOYANG22,3037,17,72.17%,153,36,69.63,4108,4,212,14,6.10 km,1294.21 km,2.68 km,3.43 km,1130,10,409002,83.49%,177,23m,31m,180,692,6,1,28,1929.25,48,128,71.80,980,23.86%,997 m,9,10,2949,
BBABBO,3027,18,43.61%,232,18,5.10,1530,153,532,37,7.39 km,3930.11 km,2.18 km,5.21 km,2529,56,206475,88.91%,473,25m,36m,1784,2251,4,3,172,388.11,15,686,7.39,284,18.56%,739 m,19,4,1225,
invinciblelee,3036,19,50.77%,232,13,5.75,1294,895,457,30,7.41 km,3387.52 km,2.25 km,5.16 km,2717,63,162122,92.78%,424,26m,36m,1458,1799,2,1,148,354.75,14,584,8.35,200,15.46%,802 m,19,5,972,
Blackwalk,3021,20,52.83%,140,23,7.40,925,76,265,30,8.88 km,2354.39 km,2.34 km,6.54 km,1424,43,121877,93.96%,249,27m,33m,843,803,5,2,91,459.91,14,449,10.99,160,17.30%,518 m,10,4,741,
nnuLOL,3017,21,49.86%,173,19,6.21,1080,301,347,34,7.76 km,2692.57 km,2.32 km,5.44 km,1880,57,144820,91.35%,317,26m,36m,1172,1101,1,0,105,417.35,15,472,8.92,219,20.28%,567 m,7,6,850,
IlIIllIl91,3016,22,71.57%,73,41,82.59,2395,11,102,5,5.24 km,534.61 km,2.34 km,2.90 km,631,0,249914,86.27%,88,25m,32m,60,175,5,2,15,2450.14,46,52,84.38,716,29.90%,998 m,6,12,1755,
AttackDie,3026,23,44.73%,229,15,4.38,1239,1594,512,39,7.03 km,3599.03 km,2.14 km,4.89 km,2519,82,183172,91.80%,470,27m,36m,1439,1510,1,1,180,357.76,10,717,6.91,182,14.69%,549 m,10,4,946,
HummingMON,3020,24,42.74%,162,22,4.76,1032,460,379,33,6.86 km,2599.56 km,2.01 km,4.85 km,2048,41,140240,88.92%,337,26m,36m,987,835,2,1,88,370.03,13,388,6.54,182,17.64%,629 m,4,4,792,
MingG1,3008,25,44.03%,155,14,3.74,737,1723,352,36,7.11 km,2501.16 km,2.11 km,4.99 km,2188,39,109953,90.06%,317,26m,36m,1029,1041,2,1,96,312.37,11,447,6.01,138,18.72%,705 m,4,4,617,
AHappyTeddyBears,2774,1666,38.03%,27,2256,7.70,339,1538,71,14,4.66 km,330.94 km,2.22 km,2.44 km,329,5,41013,67.61%,48,21m,33m,191,244,0,0,34,577.64,16,102,10.02,66,19.47%,334 m,1,4,264,
lunatic-hi,3004,26,50.44%,172,24,5.94,1004,330,341,26,6.87 km,2343.74 km,2.40 km,4.48 km,1704,33,131716,87.98%,300,25m,32m,1072,1276,3,1,85,386.26,12,425,8.46,213,21.22%,477 m,15,5,794,
Temeria,3019,27,42.88%,220,20,3.46,1013,1149,513,38,7.75 km,3976.71 km,2.02 km,5.73 km,3119,74,147687,92.01%,472,27m,36m,1803,1680,2,1,164,287.89,10,601,5.51,164,16.19%,553 m,6,5,808,
you_are_lucky,3002,28,55.32%,104,53,15.50,1302,7,188,12,7.82 km,1471.00 km,2.40 km,5.42 km,1170,22,148229,87.23%,164,27m,34m,477,672,4,1,132,788.45,23,198,17.86,234,17.97%,449 m,14,5,1052,
Awer,2164,527568,73.33%,11,537774,16.25,65,665377,15,3,8.43 km,126.50 km,2.34 km,6.09 km,84,4,7135,93.33%,14,28m,31m,53,38,0,0,8,475.65,11,25,22.50,13,20.00%,234 m,1,3,47,
juwon-_-,2994,29,52.41%,87,27,6.38,504,564,166,18,7.91 km,1312.69 km,1.98 km,5.93 km,839,25,68540,93.37%,155,26m,36m,476,563,2,1,36,412.89,10,257,9.63,90,17.86%,606 m,11,4,402,
Curious_ow,2993,30,56.25%,90,26,6.46,452,748,160,20,7.84 km,1253.82 km,2.41 km,5.43 km,769,29,62383,96.88%,155,27m,36m,613,628,2,1,71,389.89,10,287,10.56,70,15.49%,631 m,7,3,355,
qun_651174876,1507,4730491,33.33%,1,4978503,16.00,32,3412425,3,2,5.66 km,16.98 km,5.55 km,0.11 km,26,0,2934,100.00%,3,20m,31m,7,9,0,0,0,977.86,21,2,17.00,20,62.50%,449 m,0,5,22,
seongjang,2894,342,40.77%,53,348,5.49,423,2806,130,19,6.34 km,823.71 km,1.89 km,4.45 km,764,16,59139,83.85%,109,25m,34m,377,542,0,0,33,454.91,15,140,7.31,86,20.33%,520 m,6,3,374,
6G-Qqun188655572,1327,6092106,100.00%,1,6232183,0.00,31,5205045,1,1,6.38 km,6.38 km,2.96 km,3.42 km,6,0,3308,100.00%,1,24m,24m,1,1,0,0,0,3308.25,31,0,0.00,6,19.35%,885 m,0,5,22,
113545681_qun,1514,4684605,100.00%,2,4894854,0.00,34,3557060,2,2,9.09 km,18.18 km,2.64 km,6.44 km,15,0,3599,100.00%,2,29m,30m,5,7,0,0,1,1799.46,25,2,0.00,11,32.35%,395 m,0,3,27,
aaaasd2211,1921,1763486,63.64%,7,1968316,52.75,211,1050755,11,2,5.04 km,55.40 km,4.54 km,0.50 km,75,0,19667,81.82%,9,21m,33m,31,31,0,0,8,1787.88,46,3,53.50,158,74.88%,975 m,0,9,151,
bigthree,2993,31,56.04%,153,31,6.78,813,671,273,24,8.80 km,2401.86 km,2.35 km,6.44 km,1216,34,115610,91.94%,251,26m,33m,664,968,3,2,79,423.48,13,388,10.01,115,14.15%,558 m,6,4,664,
QQ_qun-661255842,
Bumkey,2989,32,48.42%,214,29,4.29,977,968,442,39,7.76 km,3430.65 km,1.81 km,5.96 km,2769,34,139159,92.53%,409,27m,36m,1174,1212,2,2,135,314.84,9,574,6.80,169,17.30%,767 m,12,4,804,
G_Qun7427776,
SEO-YONG-JU,2993,33,50.48%,106,33,5.42,564,617,210,31,8.48 km,1780.97 km,2.45 km,6.03 km,1242,19,73351,93.81%,197,27m,36m,544,613,0,0,49,349.29,13,277,8.09,121,21.45%,625 m,7,4,450,
U_TuBaBa,2985,34,29.00%,67,79,12.02,1972,9,231,21,5.14 km,1186.98 km,3.03 km,2.11 km,1355,8,214331,54.98%,127,20m,36m,390,747,3,3,38,927.84,48,79,12.51,1323,67.09%,973 m,10,19,1524,
CAUarchi,2984,35,61.59%,101,25,6.08,383,1505,164,20,8.73 km,1431.02 km,2.25 km,6.48 km,825,24,56847,97.56%,160,27m,33m,446,512,2,0,34,346.63,9,208,9.38,76,19.84%,518 m,1,3,288,
HymanL,2985,36,36.79%,103,55,6.41,1135,50,280,16,4.89 km,1370.03 km,2.26 km,2.64 km,1231,6,142262,78.57%,220,23m,36m,682,907,2,0,151,508.08,13,300,8.11,343,30.22%,650 m,1,4,976,
edg-qun10553081,1423,5340989,66.67%,2,5585438,25.00,25,3998827,3,2,5.42 km,16.26 km,2.21 km,3.21 km,11,0,2463,66.67%,2,21m,31m,11,12,0,0,1,821.07,15,3,28.00,9,36.00%,376 m,0,3,17,
coldoxygen,2989,37,53.62%,163,43,7.33,1034,265,304,34,10.21 km,3102.62 km,3.96 km,6.25 km,1231,47,135112,90.46%,275,26m,33m,951,1264,5,3,67,444.45,15,429,10.38,186,17.99%,630 m,15,4,818,
qun414576670qun,2981,38,59.64%,99,107,27.60,1849,2,166,15,5.04 km,836.52 km,2.72 km,2.32 km,864,1,207661,83.73%,139,25m,33m,264,536,6,0,67,1250.97,37,114,29.30,586,31.69%,975 m,5,9,1471,
Backroom,2988,39,65.15%,157,35,9.81,824,903,241,20,7.59 km,1829.16 km,2.34 km,5.25 km,1367,50,102047,95.85%,231,27m,36m,758,1119,3,1,69,423.43,14,324,13.67,131,15.90%,507 m,12,4,620,
Rak_n_Roll,2985,40,55.71%,117,37,5.73,533,747,210,28,8.42 km,1767.20 km,2.00 km,6.41 km,1074,33,64885,90.48%,190,27m,36m,459,582,0,0,69,308.97,10,268,8.61,72,13.51%,418 m,9,4,377,
KingSIZEd_b,2991,41,49.28%,137,38,5.49,774,607,278,24,8.01 km,2226.57 km,2.19 km,5.82 km,1364,40,101384,88.85%,247,27m,33m,898,927,7,3,137,364.69,16,377,8.16,121,15.63%,874 m,9,4,572,
PadaK_Twitch,2976,42,50.29%,172,30,4.54,771,1752,342,30,7.96 km,2722.50 km,2.25 km,5.71 km,1781,31,101320,91.81%,314,27m,36m,1060,1051,1,0,103,296.26,10,417,6.99,126,16.34%,487 m,7,4,620,
ssat_da,2981,43,46.36%,140,54,7.23,1172,105,302,31,6.33 km,1912.96 km,2.16 km,4.18 km,1460,27,155934,82.78%,250,24m,33m,988,841,2,2,61,516.34,17,406,9.74,219,18.69%,447 m,17,4,990,
nevermore11,2411,44341,23.53%,12,107192,9.10,355,2647,51,9,3.86 km,196.61 km,1.90 km,1.96 km,198,1,43019,50.98%,26,19m,33m,136,109,2,0,20,843.51,27,11,9.38,155,43.66%,957 m,0,5,353,
KoreaNo1,2975,44,48.94%,138,45,4.79,690,645,282,26,6.65 km,1874.63 km,1.76 km,4.88 km,1500,43,89647,89.01%,251,25m,36m,676,687,0,0,65,317.90,12,324,7.04,110,15.94%,963 m,21,4,561,
chicchicpokpok,2978,45,52.59%,122,48,6.63,729,314,232,27,8.10 km,1878.42 km,2.29 km,5.80 km,1588,35,96505,93.53%,217,27m,33m,761,861,1,0,80,415.97,14,347,9.78,131,17.97%,544 m,5,4,587,
tondeid,2973,47,51.49%,104,42,6.16,604,888,202,31,7.40 km,1495.45 km,2.25 km,5.15 km,988,21,73906,91.09%,184,25m,34m,761,596,1,0,60,365.87,12,268,8.90,97,16.06%,525 m,5,4,442,
KEvin01ss,2985,48,53.19%,50,81,34.32,1510,40,94,5,3.97 km,373.51 km,2.25 km,1.72 km,401,0,163045,78.72%,74,22m,32m,169,122,3,1,7,1734.52,47,25,34.89,804,53.25%,1011 m,3,29,1226,
HY-xiaogenban,2263,205048,53.33%,8,276858,23.86,167,87886,15,2,4.87 km,73.10 km,2.05 km,2.83 km,86,1,18665,73.33%,11,23m,32m,41,45,2,0,9,1244.32,23,12,25.57,93,55.69%,678 m,0,4,146,
sinamori,2971,49,52.38%,88,47,5.49,439,711,168,28,8.08 km,1356.77 km,2.06 km,6.02 km,1032,24,58803,95.24%,160,27m,36m,508,605,1,0,61,350.02,8,247,8.58,64,14.58%,603 m,10,4,339,
pinE-,2971,50,53.77%,107,52,7.35,676,260,199,24,6.96 km,1385.23 km,2.08 km,4.88 km,997,33,87474,89.45%,178,26m,33m,586,874,1,0,87,439.57,14,355,11.21,105,15.53%,649 m,3,4,530,
Ducky0413,2986,51,32.62%,212,50,3.54,1551,391,650,38,6.50 km,4227.25 km,1.99 km,4.51 km,3434,97,213369,87.85%,571,25m,36m,1783,2231,11,6,224,328.26,15,631,4.98,227,14.64%,781 m,6,4,1235,
twitchtvITBANK11,2978,52,58.20%,110,39,6.86,542,1468,189,15,7.85 km,1483.53 km,2.11 km,5.73 km,913,16,70492,96.30%,182,28m,34m,642,805,2,0,38,372.97,10,264,10.20,76,14.02%,481 m,6,3,402,
AlanSchezar,2976,53,39.09%,138,49,4.30,925,821,353,38,7.54 km,2660.68 km,2.05 km,5.49 km,1681,44,128440,83.57%,295,25m,35m,1170,1271,3,2,87,363.85,13,365,6.00,158,17.08%,686 m,9,4,793,
Yea_ho_hyun,2965,54,39.41%,80,147,24.15,2971,5,203,11,4.31 km,875.92 km,2.12 km,2.20 km,725,7,318279,62.07%,126,18m,34m,250,357,2,1,50,1567.88,46,79,24.80,1360,45.78%,1000 m,15,9,2348,
Always-2009,2601,3942,24.14%,14,6665,12.09,532,1341,58,13,4.36 km,253.15 km,2.90 km,1.46 km,226,0,60231,51.72%,30,17m,33m,79,124,0,0,20,1038.47,33,17,12.48,397,74.62%,606 m,0,5,449,
krh1995,2967,55,37.32%,184,40,2.79,861,1450,493,38,7.16 km,3531.88 km,2.10 km,5.07 km,2433,57,123360,89.45%,441,25m,36m,1620,1457,2,1,186,250.22,10,517,4.46,133,15.45%,770 m,5,3,679,
Koreabox,2973,56,43.90%,108,64,5.41,747,307,246,35,7.78 km,1913.34 km,2.27 km,5.51 km,1133,17,100264,89.43%,220,25m,33m,1132,859,2,0,61,407.58,11,268,7.36,124,16.60%,500 m,5,4,604,
Somaz_ez,2963,57,48.09%,113,62,6.19,755,424,235,30,8.24 km,1936.31 km,2.50 km,5.74 km,1219,29,98733,91.06%,214,26m,32m,686,848,1,0,82,420.14,12,363,9.16,123,16.29%,571 m,6,6,589,
BurouuA,2962,58,54.78%,63,119,27.87,1449,19,115,10,5.63 km,647.65 km,2.29 km,3.34 km,644,20,160815,74.78%,86,23m,34m,212,445,2,1,49,1398.39,37,71,29.23,443,30.57%,953 m,18,9,1193,
KIMSEONGWAN,2962,59,37.62%,114,57,4.51,852,531,303,31,6.80 km,2060.76 km,2.10 km,4.70 km,1765,27,120305,86.80%,263,25m,36m,694,913,0,0,118,397.05,13,361,6.42,193,22.65%,634 m,7,4,720,
F0oKYOU,2961,60,70.11%,61,97,54.54,1418,68,87,6,5.94 km,516.73 km,2.39 km,3.55 km,450,21,164254,83.91%,73,22m,31m,143,197,7,1,24,1887.98,45,71,57.27,395,27.86%,1040 m,3,8,1164,
Choboza,2965,61,46.22%,110,72,5.21,667,259,238,31,7.01 km,1667.22 km,2.02 km,4.99 km,1088,20,89163,78.99%,188,25m,36m,513,693,2,1,82,374.63,10,296,7.52,115,17.24%,660 m,6,4,509,
